section;name;description;price;brand;image;style;gender
tablasdesurf;Pukas Mustache;La Pukas Mustache de Pukas Surf es la tabla ideal para riders de nivel intermedio a avanzado que buscan versatilidad y rendimiento. Su diseño moderno twin/2+1 ofrece maniobrabilidad y velocidad en olas de 2 a 5 pies. El contorno ancho en la nariz y su especial cola 'Mustache swallow' facilitan el remado y las maniobras precisas.;750,00;Puskas;https://www.singlequiver.com/40508-large_default/pukas-mustache.jpg;Short Boards;
tablasdesurf;Pukas Easy Mood;La Easy Mood de Pukas es la elección perfecta para surfistas que desean equilibrio entre rendimiento y facilidad. Su diseño con contorno curvado, nariz generosa y cola ancha brinda velocidad en condiciones suaves. Con su excelente capacidad de remada, esta tabla te impulsará en cada ola.;720,00;Puskas;https://www.singlequiver.com/40513-large_default/easy-mood.jpg;Short Boards;
tablasdesurf;Al Merrick Bobby Quad;La CI Boby Quad es la nueva tabla de surf de Bobby Martinez. Un quad corto ideal para garantizar la máxima diversión incluso en los días de olas pequeñas y débiles. La nueva CI Bobby Quad te dará un extra de velocidad y agarre en los giros;805,00;Al Merrick;https://www.singlequiver.com/33907-large_default/al-merrick-bobby-quad.jpg;Short Boards;
tablasdesurf;Chilli HKII;Chilli Surfboards presenta la HKII. Actualizando sin problemas su popular modelo y una de nuestra tablas de surf Chilli favoritas la Hot Knife, la HKII se convierte en una shortboard polivalente de transición. Esta tabla es increíblemente fácil de usar y muestra tolerancia en todo tipo de condiciones.;699,00;Chilli;https://www.singlequiver.com/39072-large_default/chilli-hk2.jpg;Short Boards;
tablasdesurf;Pukas Easy Mood;La Easy Mood de Pukas es la elección perfecta para surfistas que desean equilibrio entre rendimiento y facilidad. Su diseño con contorno curvado, nariz generosa y cola ancha brinda velocidad en condiciones suaves. Con su excelente capacidad de remada, esta tabla te impulsará en cada ola.;720,00;Puskas;https://www.singlequiver.com/40513-large_default/easy-mood.jpg;Short Boards;
tablasdesurf;Clayton Swivel;La Swivel es una tabla redondeada ,con un outline diferente que aporta estabilidad y una fácil remada.;490,00;Clayton;https://www.singlequiver.com/23617-large_default/tabla-de-surf-clayton-swivel.jpg;Short Boards;
tablasdesurf;Chilli Surfboards Rare Bird;The Rare Bird by Chilli  es una de las tablas de surf más versátiles de la colección de tablas de surf Chilli. La configuración de 5 quillas le ayuda a adaptarse a la mayoría de las condiciones, desde pequeñas olas hasta tubos huecos. El Rare Bird ha demostrado ser uno de los modelos más populares de la gama Chilli.;699,00;Chilli;https://www.singlequiver.com/36702-large_default/chilli-surfboards-rare-bird.jpg;Short Boards;
tablasdesurf;CI BIG HAPPY;La CI Big Happy es ideal para surfistas mayores o más grandes que no renuncian al rendimiento. Diseñada para combinar facilidad de remada y maniobrabilidad, esta tabla cuenta con un rocker de entrada bajo, espesor generoso en la parte delantera, cantos afinados y un suave concavo único. Ideal para quienes buscan mantener agilidad y diversión en las olas. Descubre sus dimensiones detalladas y encuentra tu ajuste perfecto para surfear mejor y ser feliz en el agua.;815,00;Channel Islands;https://www.singlequiver.com/39557-large_default/ci-big-happy-al-merrik.jpg;Mid Length;
tablasdesurf;Al Merrick CI Mid;La  Al Merrick CI Mid es una tabla súper versátil que va muy bien en las olas verticales y rápidas. Estamos ante un diseño clásico moderno Mid Length resultado de una divertida colaboración con Devon Howard, un surfista del sur de California, que ha pasado las dos últimas décadas surfeando y refinando modelos de tabla de surf inspirados en los egg clásicos.;835,00;Al Merrick;https://www.singlequiver.com/27573-large_default/al-merrick-ci-mid.jpg;Mid Length;
tablasdesurf;MIDGICIAN SHARPEYE;Descubre el Midgician Sharp Eye, el nuevo Midlength de Sharpeye Surfboards diseñado para un rendimiento superior en olas pequeñas y medianas. Ideal para todos los niveles de habilidad, esta tabla ofrece un diseño versátil y estable que combina una entrada y salida planas con contornos inferiores que optimizan la velocidad y la maniobrabilidad. Disponible en construcciones PU y E3-Lite, es la opción perfecta para surfistas que buscan una experiencia similar a la de una tabla corta con las ventajas de una longitud media.;840,00;Midgician;https://www.singlequiver.com/39433-large_default/midgician-sharpeye.jpg;Mid Length;
tablasdesurf;Pyzel SurfBoard Mid Length Crisis;La Mid Crisis de Pyzel Surfboards es un mid length fácil de remar, sensible y suelta, tiene un outline semi-tradicional, de punto ancho hacia adelante, que es elegante para un impulso rápido hacia abajo, pero con suficiente cuerpo para proporcionar estabilidad y deslizamiento en olas más débiles y lentas.;860,00;Pyzel;https://www.singlequiver.com/32204-large_default/pyzel-mid-length-crisis.jpg;Mid Length;
tablasdesurf;Chilli Mid Strength;La Chilli Mid Strength es una tabla mid length de remada fácil, con más litros de los normales para Chilli, rozando una longboard y una tabla de surf ideal para un surfista de nivel intermedio que busca pasarlo en grande en los días normales. No te pierdas nuestra REVIEW de la CHILLI MID;742,00;Chilli;https://www.singlequiver.com/28251-large_default/chilli-mid-strength.jpg;Mid Length;
tablasdesurf;INDIO MID LENGTH Pink;La INDIO Midlenght es la nueva tabla mid de la marca Indio Surfboards. Una máquina de coger olas para los surfistas que buscan estabilidad y remada. Quillas incluidas.;485,00;Indio;https://www.singlequiver.com/39728-large_default/indio-midlenght-light-pink.jpg;Mid Length;
tablasdesurf;INDIO MID LENGTH Mint;La INDIO Midlenght es la nueva tabla mid de la marca Indio Surfboards. Una máquina de coger olas para los surfistas que buscan estabilidad y remada. Quillas incluidas.;485,00;Indio;https://www.singlequiver.com/39726-large_default/indio-midlenght-light-blue.jpg;Mid Length;
tablasdesurf;Al Merrick CI Mid 7.10'' FUTURES;La tabla de surf Al Merrick CI Mid RESINA TINTADA 7.10  FUTURES  2+1 en stock para envío inmediato.;946,00;Al Merrick;https://www.singlequiver.com/37923-large_default/ci-mid-channel-islands-futures.jpg;Mid Length;
tablasdesurf;CI Mid 6.6'' FCS2;La tabla de surf Al Merrick CI Mid Resina Tintada Naranja 6’6 x 20 1/2 x 2 9/16 x 37.8L FCS 2+1 in stock  en stock;930,00;Channel Islands;https://www.singlequiver.com/37237-large_default/ci-mid-66-fcs2.jpg;Mid Length;
tablasdesurf;ALMOND 6'10 Plez Phez - Clear + Rice Paper;Almond Surfboard en stock para envío en 24-48 horas.;1.492,00;Almond;https://www.singlequiver.com/35254-large_default/almond-6-10-plez-phez-clear-rice-paper.jpg;Mid Length;
tablasdesurf;CHRISTENSON NAUTILUS 6.10;La Chris Christenson Nautilus está diseñada para llenar ese eslabón perdido entre las longitudes medias y el rendimiento más corto y los diseños alternativos. Un mid length surfboard con el sello de Christenson.;884,85;Christenson;https://www.singlequiver.com/38875-large_default/christenson-nautilus-610.jpg;Mid Length;
tablasdesurf;T&C THE SINNER Retro Clear;La SINR es la última incorporación de Town and Country al tipo de tablas de surf twinfin. Un tabla twin fin divertida ideal para olas de tamaño intermedio de 1m a 1m50.;875,00;Town and Country;https://www.singlequiver.com/38665-large_default/tc-the-sinr-retro-clear.jpg;Fish;
tablasdesurf;One Bad Egg MARK PHIPPS;La One Bad Egg de Mark Phipps  es una tabla versátil y potente para surfistas intermedios y avanzados. Su diseño Egg con rails bajos y concave en V ofrece velocidad, estabilidad y una excelente remada. Ideal para olas de altura media a grande, esta tabla proporciona equilibrio y maniobrabilidad en diversas condiciones. Perfecta para quienes buscan rendimiento y confort en cada sesión.;795,00;Mark Phipps;https://www.singlequiver.com/40043-large_default/one-bad-egg-mark-phipps.jpg;Mid Length;
tablasdesurf;Tabla de Surf Clayton Retro Fish;Tabla de surf Retro Fish de la marca Clayton es una tabla modernizada con un diseño clásico.;490,00;Clayton;https://www.singlequiver.com/23390-large_default/tabla-de-surf-clayton-retro-fish-5-4.jpg;Fish;
tablasdesurf;Al Merrick Fish Beard;La Al Merrick Fish Beard es el twinfin más popular de Channel Islands. El CI Fishbeard tiene su origen cuando Parker Coffin pide a Britt Merrick transformar su NECK BEARD 2 en un twin fin.;795,00;Al Merrick;https://www.singlequiver.com/27423-large_default/fish-beard-channel-islands.jpg;Fish;
tablasdesurf;INDIO Endurance DAB Fire;La INDIO Endurance DAB es un twin fin con cola fish estilo clásico que ha sido progresivamente actualizado a lo largo de los años para adaptarse al estilo de surfing más actual. Quillas no incluidas.;485,00;Indio;https://www.singlequiver.com/39529-large_default/indio-endurance-dab-india.jpg;Fish;
tablasdesurf;Chilli Surfboards Sugar;La Sugar Chilli Surfboards  es un twin fin clásico con un toque moderno. Una tabla de surf pensada para todo tipo de surfistas y para olas de hasta 1.5 metros.;699,00;Chilli;https://www.singlequiver.com/26742-large_default/chilli-surfboards-sugar.jpg;Fish;
tablasdesurf;Tabla Clayton Egg Naranja;Tabla de la marca Clayton en color naranja. Plazo de entrega 24h.;470,00;Clayton;https://www.singlequiver.com/32251-large_default/tabla-clayton-tipo-egg.jpg;Fish;
tablasdesurf;CI FEB FISH 5.11 futures White;"La Channel Islands February Fish 5'11"" Futures ofrece velocidad y control en olas pequeñas y medianas, inspirada en el estilo de Michael February. Disponible para envío inmediato en medida 5'11"" x 21 1/8"" x 2 5/8"" (39.7L).";795,00;Channel Islands;https://www.singlequiver.com/40095-large_default/ci-february-fish-511.jpg;Fish;
tablasdesurf;Lightning Bolt Craig Hollingsworth Fish Yellow/Yellow/Red;Consulta con nosotros para tablas de surf de Lightning Bolt Surfboards en stock para envío en 24-48 horas.;990,00;Lightning Bolt;https://www.singlequiver.com/32507-large_default/lightning-bolt-craig-hollingsworth-fish-yellow-yellow-red.jpg;Fish;
tablasdesurf;Chris Christenson Fish 5.04;La Christenson Fish es una tabla muy polivalente que funciona en todo tipo de condiciones,  pero cuando saca su mayor rendimiento es en olas entre 0,5 y 1 metro de altura;888,00;Chris Christenson;https://www.singlequiver.com/39438-large_default/chris-christenson-fish-504.jpg;Fish;
tablasdesurf;Firewire Too Fish Machado 5.6 Futures;La Firewire Too Fish es la última innovación de Firewire Surfboards en colaboración con Rob Machado. Esta versión modernizada del popular modelo Twin Fin Go Fish está diseñada para mejorar la velocidad y funcionalidad en olas pequeñas a medianas. Destaca por su fondo de cóncavo simple para transiciones suaves y una construcción Helium que aumenta la durabilidad y reduce el peso. Ideal para surfistas que buscan rendimiento en condiciones de 1 a 5 pies, esta tabla es perfecta para una amplia variedad de olas y garantiza diversión y maniobrabilidad excepcionales;712,00;Firewire Surfboards;https://www.singlequiver.com/39436-large_default/firewire-too-fish-machado-56-futures.jpg;Fish;
tablasdesurf;Al Merrick CI Mid;La  Al Merrick CI Mid es una tabla súper versátil que va muy bien en las olas verticales y rápidas. Estamos ante un diseño clásico moderno Mid Length resultado de una divertida colaboración con Devon Howard, un surfista del sur de California, que ha pasado las dos últimas décadas surfeando y refinando modelos de tabla de surf inspirados en los egg clásicos.;835,00;Al Merrick;https://www.singlequiver.com/27573-large_default/al-merrick-ci-mid.jpg;Single Fin;
tablasdesurf;Lightning Bolt RORY RUSSELL PIPELINER Black/Black/Red;Consulta con nosotros para tablas de surf de Lightning Bolt Surfboards en stock para envío en 24-48 horas.;4.000,00;Lightning Bolt;https://www.singlequiver.com/32530-large_default/lightning-bolt-rr-pipeliner-black-black-red.jpg;Single Fin;
tablasdesurf;Tabla de Surf Clayton Single Fin Model;La tabla Clayton Single Fin es nuestra interpretación del tablero montado por la mayoría de los surfistas durante el surf profesional en los años 70.;475,00;Clayton;https://www.singlequiver.com/23648-large_default/tabla-de-surf-clayton-single-fin-model.jpg;Single Fin;
tablasdesurf;Lightning Bolt Rr Pipeliner With Pinline Bordeaux/Bordeaux/Yellow;Consulta con nosotros para tablas de surf de Lightning Bolt Surfboards en stock para envío en 24-48 horas.;4.000,00;Lightning Bolt;https://www.singlequiver.com/32528-large_default/lightning-bolt-rr-pipeliner-with-pinline-bordeaux-bordeaux-yellow.jpg;Single Fin;
tablasdesurf;ALMOND 6'6 Plez Phez - White Top, Brown Bottom, Polish Finish;Almond Surfboard en stock para envío en 24-48 horas.;1.531,00;Almond;https://www.singlequiver.com/35255-large_default/almond-6-6-plez-phez-white-top-brown-bottom-polish-finish.jpg;Mid Length;
tablasdesurf;Lightning Bolt Gerry's Pipeliner Red/Red/Yellow;Consulta con nosotros para tablas de surf de Lightning Bolt Surfboards en stock para envío en 24-48 horas.;4.600,00;Lightning Bolt;https://www.singlequiver.com/32525-large_default/lightning-bolt-gerry-s-pipeliner-red-red-yellow.jpg;Single Fin;
tablasdesurf;Lightning Bolt Gerry's Pipeliner Yellow / Red / Red;Consulta con nosotros para tablas de surf de Lightning Bolt Surfboards en stock para envío en 24-48 horas.;4.600,00;Lightning Bolt;https://www.singlequiver.com/32519-large_default/lightning-bolt-gerry-s-pipeliner-yellow-red-red.jpg;Single Fin;
tablasdesurf;Lightning Bolt Gerry's Pipeliner Green/Green/White;Consulta con nosotros para tablas de surf de Lightning Bolt Surfboards en stock para envío en 24-48 horas.;4.600,00;Lightning Bolt;https://www.singlequiver.com/32515-large_default/lightning-bolt-gerry-s-pipeliner-green-green-white.jpg;Single Fin;
tablasdesurf;CI Mid 6.6'' FCS2;La tabla de surf Al Merrick CI Mid Resina Tintada Naranja 6’6 x 20 1/2 x 2 9/16 x 37.8L FCS 2+1 in stock  en stock;930,00;Channel Islands;https://www.singlequiver.com/37237-large_default/ci-mid-66-fcs2.jpg;Single Fin;
tablasdesurf;Lightning Bolt Mini Gun Blueblue/White;Consulta con nosotros para tablas de surf de Lightning Bolt Surfboards en stock para envío en 24-48 horas.;1.095,00;Lightning Bolt;https://www.singlequiver.com/32484-large_default/lightning-bolt-mini-gun-blueblue-white.jpg;Single Fin;
tablasdesurf;Lightning Bolt Ecologic Stinger Grey/Grey/White;Consulta con nosotros para tablas de surf de Lightning Bolt Surfboards en stock para envío en 24-48 horas.;1.410,00;Lightning Bolt;https://www.singlequiver.com/32469-large_default/lightning-bolt-ecologic-stinger-grey-grey-white.jpg;Single Fin;
tablasdesurf;Lightning Bolt Pin Master Blue/Grey/White;Consulta con nosotros para tablas de surf de Lightning Bolt Surfboards en stock para envío en 24-48 horas.;990,00;Lightning Bolt;https://www.singlequiver.com/32403-large_default/lightning-bolt-pin-master-blue-grey-white.jpg;Single Fin;
tablasdesurf;Al Merrick CI Mid 7.0'' Futures 2+1;La tabla de surf Al Merrick CI Mid Resin Tint Grey  7.0 FUTURES 2+1 en stock para envío inmediato;930,00;Al Merrick;https://www.singlequiver.com/37915-large_default/al-merrick-ci-mid-stock-70-gris.jpg;Single Fin;
tablasdesurf;Al Merrick G Skate;La nueva tabla de Channel Islands se llama Al Merrick G-Skate. Una tabla qué está diseñado para inspirarte con la energía característica de los hermanos Gudauskas. La nueva tabla de surf con la que también verás a Mike February.;795,00;Al Merrick;https://www.singlequiver.com/38348-large_default/al-merrick-g-skate.jpg;Mini Malibu;
tablasdesurf;CI BIG HAPPY;La CI Big Happy es ideal para surfistas mayores o más grandes que no renuncian al rendimiento. Diseñada para combinar facilidad de remada y maniobrabilidad, esta tabla cuenta con un rocker de entrada bajo, espesor generoso en la parte delantera, cantos afinados y un suave concavo único. Ideal para quienes buscan mantener agilidad y diversión en las olas. Descubre sus dimensiones detalladas y encuentra tu ajuste perfecto para surfear mejor y ser feliz en el agua.;815,00;Channel Islands;https://www.singlequiver.com/39557-large_default/ci-big-happy-al-merrik.jpg;Mini Malibu;
tablasdesurf;Al Merrick CI Mid;La  Al Merrick CI Mid es una tabla súper versátil que va muy bien en las olas verticales y rápidas. Estamos ante un diseño clásico moderno Mid Length resultado de una divertida colaboración con Devon Howard, un surfista del sur de California, que ha pasado las dos últimas décadas surfeando y refinando modelos de tabla de surf inspirados en los egg clásicos.;835,00;Al Merrick;https://www.singlequiver.com/27573-large_default/al-merrick-ci-mid.jpg;Mini Malibu;
tablasdesurf;INDIO MID LENGTH Pink;La INDIO Midlenght es la nueva tabla mid de la marca Indio Surfboards. Una máquina de coger olas para los surfistas que buscan estabilidad y remada. Quillas incluidas.;485,00;Indio;https://www.singlequiver.com/39728-large_default/indio-midlenght-light-pink.jpg;Mini Malibu;
tablasdesurf;INDIO MID LENGTH Mint;La INDIO Midlenght es la nueva tabla mid de la marca Indio Surfboards. Una máquina de coger olas para los surfistas que buscan estabilidad y remada. Quillas incluidas.;485,00;Indio;https://www.singlequiver.com/39726-large_default/indio-midlenght-light-blue.jpg;Mini Malibu;
tablasdesurf;CI Mid 6.6'' FCS2;La tabla de surf Al Merrick CI Mid Resina Tintada Naranja 6’6 x 20 1/2 x 2 9/16 x 37.8L FCS 2+1 in stock  en stock;930,00;Channel Islands;https://www.singlequiver.com/37237-large_default/ci-mid-66-fcs2.jpg;Mini Malibu;
tablasdesurf;Al Merrick CI Mid 7.10'' FUTURES;La tabla de surf Al Merrick CI Mid RESINA TINTADA 7.10  FUTURES  2+1 en stock para envío inmediato.;946,00;Al Merrick;https://www.singlequiver.com/37923-large_default/ci-mid-channel-islands-futures.jpg;Mini Malibu;
tablasdesurf;One Bad Egg MARK PHIPPS;La One Bad Egg de Mark Phipps  es una tabla versátil y potente para surfistas intermedios y avanzados. Su diseño Egg con rails bajos y concave en V ofrece velocidad, estabilidad y una excelente remada. Ideal para olas de altura media a grande, esta tabla proporciona equilibrio y maniobrabilidad en diversas condiciones. Perfecta para quienes buscan rendimiento y confort en cada sesión.;795,00;Mark Phipps;https://www.singlequiver.com/40043-large_default/one-bad-egg-mark-phipps.jpg;Mini Malibu;
tablasdesurf;Pukas All Round Longboard;El Pukas All-Round Longboard es la tabla ideal para cualquier condición de olas, combinando maniobrabilidad y suavidad. Diseñada con un rocker versátil para maniobras verticales y un contorno inferior que asegura velocidad e hidrodinámica, permite un deslizamiento cómodo y fluido. ¡Perfecta para surfistas que buscan aventura en cada ola!;995,00;Puskas;https://www.singlequiver.com/40522-large_default/pukas-all-round-longboard.jpg;Long Boards;
tablasdesurf;INDIO MID LENGTH Pink;La INDIO Midlenght es la nueva tabla mid de la marca Indio Surfboards. Una máquina de coger olas para los surfistas que buscan estabilidad y remada. Quillas incluidas.;485,00;Indio;https://www.singlequiver.com/39728-large_default/indio-midlenght-light-pink.jpg;Long Boards;
tablasdesurf;JJF Pyzel Surf The Log;La JJF Pyzel Surf The Log es una tabla diseñada por Jon Pyzel y John John Florence para ofrecer diversión en cualquier día de surf, ideal tanto para principiantes como para surfistas avanzados. Con construcción Eco EPS, quillas Futures™ genuinas y una capa superior de EVA, ofrece durabilidad y rendimiento. Su configuración de quillas Thruster proporciona mayor control y maniobrabilidad. Disponible en varias dimensiones para adaptarse a diferentes estilos de surf.;729,00;Pyzel;https://www.singlequiver.com/39843-large_default/jjf-pyzel-surf-the-log.jpg;Long Boards;
tablasdesurf;INDIO MID LENGTH Mint;La INDIO Midlenght es la nueva tabla mid de la marca Indio Surfboards. Una máquina de coger olas para los surfistas que buscan estabilidad y remada. Quillas incluidas.;485,00;Indio;https://www.singlequiver.com/39726-large_default/indio-midlenght-light-blue.jpg;Long Boards;
tablasdesurf;Keel Fish;"Esta tabla fish se caracteriza por ser corta, ancha, gruesa y tener un deck plano para ofrecer el máximo volumen con unos cantos afilados que cortan el agua como cuchillas. Su rocker en la punta es suave y progresivo igual que en la cola. Esto te ayuda a ganar velocidad y pasar secciones sin problema en olas pequeñas y con poca fuerza. El bottom se caracteriza por tener un cóncavo simple que termina en doble entre las quillas.
Es una tabla muy divertida que funciona de maravilla en olas en todo tipo de condiciones. Con ella ganarás remada, tiempo para ponerte de pie, surfear el pocket de la ola y conseguir meterte en tubos con anticipación.
Con la Keel Fish tienes la sonrisa asegurada después de cada baño y la sensación de surfear al máximo todas las olas del día. Una joya recomendada para el quiver de todo surfista.";489,95;Honey;https://www.honeysurfboards.com/images/virtuemart/product/honey-surf-keel-fish.jpg;Fish;
tablasdesurf;Psycho Fish;Pregunta por las medidas recomendadas para la fabricación a nuestros expertos. En internet encontrarás vídeosde Alex Piñeiro surfeando con su Psycho Fish al atardecer en el norte de Portugal. Y otro buen vídeo con Ansesurf estrenando su Psycho Fish por la costa de Galicia.;489,95;Honey;https://www.honeysurfboards.com/images/virtuemart/product/psycho-fish.jpg;Fish;
tablasdesurf;Retro Fish;La Retro Fish de Honey es la mejor opción para los amantes del surf clásico que no quieren renunciar al surf moderno. Su diseño ofrece mucha estabilidad y una gran remada para facilitar la entrada en la ola y ganar medio segundo a la hora de ponerse de pie dándote una buena ventaja para realizar la primera maniobra o buscar la posición para el tubo. Tiene un cóncavo simple en el bottom para asegurar una mayor velocidad al surfear y una cola fish swallow ancha que te permitirá controlar bien los giros y maniobras.;489,95;Honey;https://www.honeysurfboards.com/images/virtuemart/product/retro-fins-blue-rails.jpg;Fish;
tablasdesurf;Twin Fin;"La Twin Fin está inspirada en las tablas de dos quillas de finales de los años 70 con las que Mark Richads ganó sus títulos mundiales pero con mejoras para poder realizar surf moderno con buenos giros y maniobras. Es una tabla de surf rápida y muy equilibrada con el punto más ancho en su centro y el volumen repartido casi de la misma manera desde la un cuarto de la punta hasta un cuarto de la cola. Te soprenderá lo rápido que te pones de pie incluso los días de olas pequeñas y con poca fuerza.
Está diseñada para olas pequeñas y medianas hasta la altura de la cabeza y un poco más, pero también aguanta más tamaño sobre todo cuando hablamos de olas de calidad.
Medidas Standard recomendadas para la fabricación";489,95;Honey;https://www.honeysurfboards.com/images/virtuemart/product/twin-fin-honey9.jpg;Fish;
tablasdesurf;Wing Fish;La Wing Fish es una tabla de surf que combina perfectamente la tradición de las tablas fish californianas con elementos modernos para facilitar el deslizamiento sobre el agua sin esfuerzo. Su contorno te permitirá mantener el agarre y control sobre la ola pero ayudándote en cambios de dirección y giros más radicales que con un fish tradicional. Si buscas una tabla fish que mantenga el estilo retro pero con mayor capacidad de giro la Wing Fish una de las mejores opciones. La puedes configurar en sistema Twin para ir suelto o usar con cuatro quillas en configuración Quad con más agarre en olas huecas y rápidas. Una auténtica fish vintage pero con un motor y una transmisión nueva y moderna para combinar lo mejor de las tradiciones surferas.;489,95;Honey;https://www.honeysurfboards.com/images/virtuemart/product/wing-fish-honey-surf.jpg;Fish;
tablasdesurf;Big Fish;"Una versión más grande del clásico Fish para poder realizar un surf down the line a gran velocidad en todo tipo de condiciones. Excelente opción para surfear desde olas por la rodilla hasta olas grandes ya que aguanta mucho tamaño siendo probablemente el diseño más versátil de todas las tablas de surf.
Diseñada para realizar buenos giros rail to rail y carving manteniendo una gran velocidad y un excelente agarre gracias a sus cantos. Tiempo de preparación y entrega: 4/6 semanas. Fabricada en Europa.";489,95;Honey;https://www.honeysurfboards.com/images/virtuemart/product/honey-big-fish.jpg;Fish;
